iter	Passed	Remaining
0	142	142378
1	144	72010
2	145	48505
3	147	36740
4	149	29698
5	150	24980
6	152	21618
7	154	19131
8	155	17165
9	157	15600
10	159	14297
11	160	13208
12	161	12290
13	163	11508
14	164	10821
15	165	10207
16	167	9685
17	168	9214
18	170	8784
19	171	8391
20	172	8044
21	173	7717
22	174	7417
23	175	7143
24	176	6892
25	177	6651
26	178	6428
27	179	6220
28	180	6027
29	180	5851
30	181	5685
31	182	5527
32	183	5378
33	184	5236
34	184	5100
35	185	4971
36	186	4849
37	187	4739
38	187	4630
39	188	4526
40	189	4427
41	189	4330
42	190	4236
43	190	4147
44	191	4062
45	191	3980
46	192	3902
47	193	3828
48	193	3756
49	194	3687
50	194	3621
51	195	3558
52	195	3498
53	196	3437
54	196	3379
55	197	3322
56	197	3268
57	198	3215
58	198	3165
59	198	3115
60	199	3068
61	199	3022
62	200	2978
63	200	2934
64	201	2892
65	201	2852
66	202	2813
67	202	2772
68	202	2735
69	203	2699
70	203	2664
71	204	2629
72	204	2596
73	204	2564
74	205	2532
75	205	2502
76	206	2472
77	206	2443
78	207	2414
79	207	2386
80	207	2359
81	208	2333
82	208	2308
83	209	2284
84	209	2258
85	210	2235
86	210	2210
87	211	2188
88	211	2165
89	212	2143
90	212	2122
91	212	2101
92	213	2080
93	213	2060
94	214	2040
95	214	2021
96	215	2002
97	215	1983
98	215	1965
99	216	1947
100	216	1930
101	217	1911
102	217	1895
103	218	1878
104	218	1862
105	218	1846
106	219	1830
107	219	1815
108	220	1800
109	220	1785
110	221	1770
111	221	1756
112	221	1742
113	222	1728
114	222	1715
115	223	1701
116	223	1688
117	224	1676
118	224	1662
119	225	1650
120	225	1638
121	225	1626
122	226	1612
123	226	1600
124	227	1589
125	227	1578
126	227	1567
127	228	1554
128	228	1544
129	229	1533
130	229	1522
131	230	1512
132	230	1502
133	230	1492
134	231	1482
135	231	1473
136	232	1463
137	232	1453
138	233	1444
139	233	1435
140	234	1425
141	234	1417
142	234	1408
143	235	1399
144	235	1390
145	236	1381
146	236	1373
147	237	1365
148	237	1357
149	238	1349
150	238	1341
151	239	1333
152	239	1325
153	239	1318
